項次,事業單位名稱,違反勞動基準法條款,違反法規內容,發文字號,處分日期
1,盧比設計有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10230547900號,102年2月20日
1,盧比設計有限公司,勞動基準法第32條第1項,延長工作時間不符法定要件。,府勞動字第10230547900號,102年2月20日
1,盧比設計有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10230547900號,102年2月20日
1,盧比設計有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10230547900號,102年2月20日
1,盧比設計有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10230547900號,102年2月20日
1,盧比設計有限公司,勞動基準法第49條第1項,未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,府勞動字第10230547900號,102年2月20日
2,駿鋒保全股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10231316900號,102年4月1日
2,駿鋒保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10231316900號,102年4月1日
2,駿鋒保全股份有限公司,勞動基準法第37條,依規定應放假之日未予休假。,府勞動字第10231316900號,102年4月1日
3,儀大股份有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10202615500號,102年9月2日
3,儀大股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10202615500號,102年9月2日
4,明思廣告股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10234774200號,102年9月9日
4,明思廣告股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10234774200號,102年9月9日
5,友訊科技股份有限公司,勞動基準法第30條第2項,雇主未經勞資會議同意，逕自分配2週內正常工作時間於其他工作日。,府勞動字第10234802800號,102年9月9日
6,華威國際科技顧問股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235349300號,102年9月9日
6,華威國際科技顧問股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235349300號,102年9月9日
6,華威國際科技顧問股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235349300號,102年9月9日
7,台北金融大樓股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10234802200號,102年9月12日
8,宏碁股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235354400號,102年9月12日
9,台灣租車股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235306200號,102年9月12日
10,台灣觀光巴士有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235306300號,102年9月12日
10,台灣觀光巴士有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235306300號,102年9月12日
10,台灣觀光巴士有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10235306300號,102年9月12日
10,台灣觀光巴士有限公司,勞動基準法第37條,依規定應放假之日未予休假。,府勞動字第10235306300號,102年9月12日
11,山大人力有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235393600號,102年9月13日
11,山大人力有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10235393600號,102年9月13日
12,仁寶電腦工業股份有限公司,勞動基準法第32條第1項,延長工作時間不符法定要件。,府勞動字第10235307000號,102年9月13日
13,李月桃,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10234956000號,102年9月13日
14,雙富人力資源顧問有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235911900號,102年9月13日
15,湯花國際事業有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10234841900號,102年9月14日
15,湯花國際事業有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10234841900號,102年9月14日
15,湯花國際事業有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10234841900號,102年9月14日
15,湯花國際事業有限公司,勞動基準法第38條,未依規定給予特別休假。,府勞動字第10234841900號,102年9月14日
16,財團法人私立天主教華光智能發展中心,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10234864400號,102年9月14日
16,財團法人私立天主教華光智能發展中心,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10234864400號,102年9月14日
16,財團法人私立天主教華光智能發展中心,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10234864400號,102年9月14日
17,凱東利國際股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10234864200號,102年9月14日
18,金發有限公司,勞動基準法第16條第3項,未依規定給付預告工資。,府勞動字第10234867100號,102年9月18日
18,金發有限公司,勞動基準法第21條第1項,未達基本工資。,府勞動字第10234867100號,102年9月18日
18,金發有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10234867100號,102年9月18日
19,香辣天餐飲開發有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10235307400號,102年9月18日
19,香辣天餐飲開發有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235307400號,102年9月18日
20,達欣工程股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10234543800號,102年9月18日
20,達欣工程股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10234543800號,102年9月18日
21,三立電視股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235543700號,102年9月24日
22,世平興業股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235373100號,102年9月24日
23,大方茶行,勞動基準法第49條第1項,未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,府勞動字第10235348300號,102年9月26日
24,騎士堡國際事業股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10234975500號,102年9月27日
25,徐皇冠,勞動基準法第21條第1項,未達基本工資。,府勞動字第10235405000號,102年9月27日
25,徐皇冠,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10235405000號,102年9月27日
25,徐皇冠,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235405000號,102年9月27日
25,徐皇冠,勞動基準法第37條,依規定應放假之日未予休假。,府勞動字第10235405000號,102年9月27日
26,主富服裝股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10234981000號,102年10月1日
27,聯亞人力資訊管理顧問有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10234988000號,102年10月1日
28,家城股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10202944500號,102年10月1日
28,家城股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10202944500號,102年10月1日
29,劉大榮,勞動基準法第36條,每七日中未有一日之休息作為例假。,府勞動字第10236033500號,102年10月2日
30,福君海悅大飯店股份有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10234985600號,102年10月2日
31,高峯營造事業股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10235348400號,102年10月3日
31,高峯營造事業股份有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10235348400號,102年10月3日
31,高峯營造事業股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10235348400號,102年10月3日
32,浩鑫股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235894500號,102年10月8日
33,八海國際餐飲股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10235002800號,102年10月9日
33,八海國際餐飲股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235002800號,102年10月9日
33,八海國際餐飲股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,府勞動字第10235002800號,102年10月9日
33,八海國際餐飲股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10235002800號,102年10月9日
34,財團法人創世社會福利基金會,勞動基準法第22條第2項,工資未全額直接給付勞工。,府勞動字第10235916400號,102年10月14日
34,財團法人創世社會福利基金會,勞動基準法第49條第1項,未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,府勞動字第10235916400號,102年10月14日
35,創今服裝有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10235928400號,102年10月14日
35,創今服裝有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10235928400號,102年10月14日
36,神達電腦股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235929000號,102年10月15日
37,冉筠佩,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第10236242000號,102年10月15日
38,華漾實業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,府勞動字第10235916900號,102年10月15日
39,彩蝶宴有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定。,府勞動字第10235928500號,102年10月16日
