項次,事業單位或事業主之名稱、負責人姓名,違反法令條款,違反法規內容,處分書文號,處分日期,備註
1,太子汽車工業有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,府勞動字第1010001486號,101年1月10日,
2,鄭靜安即新竹市私立立人童年托兒所,勞基法第22條第2項,工資未全額直接給付勞工。,府勞動字第1010022223號,101年3月9日,
3,台灣應解股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,府勞動字第1020300432號,102年6月6日,
4,麗嬰國際股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020369830號,102年10月24日,
4,麗嬰國際股份有限公司,勞基法第32條第1項,延長工作時間不符法定要件。,府勞動字第1020369830號,102年10月24日,
4,麗嬰國際股份有限公司,勞基法第39條,於休假日工作未依規定加給工資。,府勞動字第1020369830號,102年10月24日,
5,誼光保全股份有限公司,勞基法第21條第1項,未達基本工資。,府勞動字第1020368994號,102年10月25日,
5,誼光保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020368994號,102年10月25日,
5,誼光保全股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1020368994號,102年10月25日,
6,明湖高爾夫練習場,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020386106號,102年12月6日,
6,明湖高爾夫練習場,勞基法第38條,未依規定給予特別休假。,府勞動字第1020386106號,102年12月6日,
6,明湖高爾夫練習場,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020386106號,102年12月6日,
7,水田髮型工作坊,勞基法第36條,每七日中未有一日之休息作為例假。,府勞動字第1020390351號,102年12月6日,102年度建教生專案檢查
8,關東髮型工作坊,勞基法第36條,每七日中未有一日之休息作為例假。,府勞動字第1020390384號,102年12月6日,102年度建教生專案檢查
9,永圓國際美容事業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,府勞動字第1020394822號,102年12月13日,102年度建教生專案檢查
